time,P
2023-03-27 8:48:32.3120,100061.73
2023-03-27 8:48:33.3140,100062.77
2023-03-27 8:48:34.3190,100063.03
2023-03-27 8:48:35.3170,100063.03
2023-03-27 8:48:36.3200,100063.16
2023-03-27 8:48:37.3210,100062.93
2023-03-27 8:48:38.3230,100062.7
2023-03-27 8:48:39.3210,100062.7
2023-03-27 8:48:40.3240,100063.0
2023-03-27 8:48:41.3280,100063.57
2023-03-27 8:48:42.3290,100063.57
2023-03-27 8:48:43.3320,100063.12
2023-03-27 8:48:44.3360,100062.62
2023-03-27 8:48:45.3380,100061.36
2023-03-27 8:48:46.3380,100060.52
2023-03-27 8:48:47.3400,100058.35
2023-03-27 8:48:48.3410,100057.33
2023-03-27 8:48:49.3410,100055.77
2023-03-27 8:48:50.3430,100054.73
2023-03-27 8:48:51.3470,100052.09
2023-03-27 8:48:52.3490,100050.61
2023-03-27 8:48:53.3500,100047.6
2023-03-27 8:48:54.3520,100044.36
2023-03-27 8:48:55.3560,100041.24
2023-03-27 8:48:56.3560,100038.83
2023-03-27 8:48:57.3590,100036.17
2023-03-27 8:48:58.3600,100034.19
2023-03-27 8:48:59.3610,100032.1
2023-03-27 8:49:00.3640,100029.78
2023-03-27 8:49:01.3640,100027.3
2023-03-27 8:49:02.3660,100025.09
2023-03-27 8:49:03.3680,100023.67
2023-03-27 8:49:04.3780,100022.32
2023-03-27 8:49:05.3780,100021.63
2023-03-27 8:49:06.3780,100021.49
2023-03-27 8:49:07.3750,100021.07
2023-03-27 8:49:08.3770,100020.71
2023-03-27 8:49:09.3780,100020.39
2023-03-27 8:49:10.3790,100020.39
2023-03-27 8:49:11.3830,100020.81
2023-03-27 8:49:12.3840,100021.28
2023-03-27 8:49:13.3860,100022.05
2023-03-27 8:49:14.3870,100023.62
2023-03-27 8:49:15.3920,100024.22
2023-03-27 8:49:16.3930,100024.32
2023-03-27 8:49:17.3940,100024.48
2023-03-27 8:49:18.3970,100024.32
2023-03-27 8:49:19.3990,100024.24
2023-03-27 8:49:20.4000,100024.07
2023-03-27 8:49:21.4030,100023.82
2023-03-27 8:49:22.4030,100023.8
2023-03-27 8:49:23.4050,100023.37
2023-03-27 8:49:24.4060,100023.17
2023-03-27 8:49:25.4100,100023.15
2023-03-27 8:49:26.4120,100023.01
2023-03-27 8:49:27.4140,100022.94
2023-03-27 8:49:28.4150,100022.94
2023-03-27 8:49:29.4160,100022.82
2023-03-27 8:49:30.4180,100022.32
2023-03-27 8:49:31.4190,100022.32
2023-03-27 8:49:32.4230,100022.38
2023-03-27 8:49:33.4200,100022.38
2023-03-27 8:49:34.4250,100022.46
2023-03-27 8:49:35.4270,100023.08
2023-03-27 8:49:36.4280,100023.46
2023-03-27 8:49:37.4300,100023.58
2023-03-27 8:49:38.4320,100023.77
2023-03-27 8:49:39.4340,100023.77
2023-03-27 8:49:40.4380,100023.7
2023-03-27 8:49:41.4400,100023.25
2023-03-27 8:49:42.4400,100022.96
2023-03-27 8:49:43.4410,100022.63
2023-03-27 8:49:44.4430,100022.48
2023-03-27 8:49:45.4560,100022.48
2023-03-27 8:49:46.4580,100022.43
2023-03-27 8:49:47.4550,100022.48
2023-03-27 8:49:48.4550,100022.56
2023-03-27 8:49:49.4520,100022.56
2023-03-27 8:49:50.4520,100022.54
2023-03-27 8:49:51.4550,100022.33
2023-03-27 8:49:52.4570,100021.7
2023-03-27 8:49:53.4590,100020.84
2023-03-27 8:49:54.4600,100020.2
2023-03-27 8:49:55.4630,100019.33
2023-03-27 8:49:56.4630,100018.49
2023-03-27 8:49:57.4660,100017.87
2023-03-27 8:49:58.4700,100017.53
2023-03-27 8:49:59.4710,100016.6
2023-03-27 8:50:00.4740,100015.58
2023-03-27 8:50:01.4740,100014.97
2023-03-27 8:50:02.4760,100013.37
2023-03-27 8:50:03.4810,100011.54
2023-03-27 8:50:04.4800,100009.71
2023-03-27 8:50:05.4840,100008.18
2023-03-27 8:50:06.4830,100006.24
2023-03-27 8:50:07.4830,100005.42
2023-03-27 8:50:08.4850,100004.52
2023-03-27 8:50:09.4890,100003.2
2023-03-27 8:50:10.4920,100001.69
2023-03-27 8:50:11.4900,99999.78
2023-03-27 8:50:12.4960,99996.29
2023-03-27 8:50:13.4970,99993.79
2023-03-27 8:50:14.4980,99992.23
2023-03-27 8:50:15.5000,99988.97
2023-03-27 8:50:16.5010,99984.92
2023-03-27 8:50:17.5040,99981.59
2023-03-27 8:50:18.5040,99978.49
2023-03-27 8:50:19.5050,99975.36
2023-03-27 8:50:20.5090,99972.6
2023-03-27 8:50:21.5090,99972.48
2023-03-27 8:50:22.5100,99972.26
2023-03-27 8:50:23.5150,99970.54
2023-03-27 8:50:24.5140,99969.26
2023-03-27 8:50:25.5160,99969.26
2023-03-27 8:50:26.5180,99969.99
2023-03-27 8:50:27.5300,99970.43
2023-03-27 8:50:28.5300,99971.34
2023-03-27 8:50:29.5290,99971.85
2023-03-27 8:50:30.5280,99971.85
2023-03-27 8:50:31.5300,99970.12
2023-03-27 8:50:32.5300,99970.1
2023-03-27 8:50:33.5300,99969.57
2023-03-27 8:50:34.5320,99969.39
2023-03-27 8:50:35.5360,99969.29
2023-03-27 8:50:36.5370,99968.58
2023-03-27 8:50:37.5380,99968.41
2023-03-27 8:50:38.5390,99968.41
2023-03-27 8:50:39.5440,99968.41
2023-03-27 8:50:40.5450,99968.58
2023-03-27 8:50:41.5480,99968.22
2023-03-27 8:50:42.5480,99968.19
2023-03-27 8:50:43.5500,99968.04
2023-03-27 8:50:44.5520,99967.88
2023-03-27 8:50:45.5530,99967.88
2023-03-27 8:50:46.5560,99968.19
2023-03-27 8:50:47.5600,99969.16
2023-03-27 8:50:48.5590,99969.16
2023-03-27 8:50:49.5620,99968.87
2023-03-27 8:50:50.5630,99968.87
2023-03-27 8:50:51.5650,99968.93
2023-03-27 8:50:52.5680,99969.06
2023-03-27 8:50:53.5690,99969.83
2023-03-27 8:50:54.5710,99970.61
2023-03-27 8:50:55.5750,99971.18
2023-03-27 8:50:56.5740,99971.18
